ANNO|CODI_COMPARTO|DESC_COMPARTO|CODI_CONTRATTO|DESC_CONTRATTO
2014|30|CARRIERA PENITENZIARIA|CPEN|CARRIERA PENITENZIARIA
2014|01|SERVIZIO SANITARIO NAZIONALE|SSNA|SERVIZIO SANITARIO NAZIONALE
2014|02|ENTI PUBBLICI NON ECONOMICI|EPNE|ENTI PUBBLICI NON ECONOMICI
2014|03|ENTI DI RICERCA|ERIC|ENTI DI RICERCA
2014|04|REGIONI ED AUTONOMIE LOCALI|RALN|REGIONI E AUT.LOC. (CCNL NAZ.)
2014|05|MINISTERI|MNST|MINISTERI
2014|07|SCUOLA|SCLA|SCUOLA
2014|08|UNIVERSITA'|UNIV|UNIVERSITA'
2014|09|CORPI DI POLIZIA|PPSS|POLIZIA DI STATO
2014|09|CORPI DI POLIZIA|CCSS|CARABINIERI
2014|09|CORPI DI POLIZIA|GGFF|GUARDIA DI FINANZA
2014|09|CORPI DI POLIZIA|PPEN|POLIZIA PENITENZIARIA
2014|09|CORPI DI POLIZIA|CFOR|CORPO FORESTALE
2014|09|CORPI DI POLIZIA|CM09|CAPPELLANI MILITARI (CM09)
2014|10|FORZE ARMATE|AAMM|AERONAUTICA
2014|10|FORZE ARMATE|EEII|ESERCITO
2014|10|FORZE ARMATE|CPOR|CAPITANERIE DI PORTO
2014|10|FORZE ARMATE|MMAA|MARINA
2014|10|FORZE ARMATE|CM10|CAPPELLANI MILITARI (CM10)
2014|12|MAGISTRATURA|MAMI|MAGISTRATURA MILITARE
2014|12|MAGISTRATURA|CCON|MAGISTRATURA CONTABILE
2014|12|MAGISTRATURA|CSTA|MAGISTRATURA AMMINISTRATIVA
2014|12|MAGISTRATURA|AVST|AVVOCATURA DI STATO
2014|12|MAGISTRATURA|MGOR|MAGISTRATURA ORDINARIA
2014|13|CARRIERA DIPLOMATICA|CDIP|CARRIERA DIPLOMATICA
2014|27|ENTI ART.70-COMMA 4 - D.165/01|ASSI|A.S.I.
2014|27|ENTI ART.70-COMMA 4 - D.165/01|UCAM|UNIONCAMERE
2014|27|ENTI ART.70-COMMA 4 - D.165/01|ENAC|E.N.A.C.
2014|27|ENTI ART.70-COMMA 4 - D.165/01|CNEL|C.N.E.L.
2014|27|ENTI ART.70-COMMA 4 - D.165/01|DGIT|ENTE NAZIONALE DIGITALIZ. P.A.
2014|28|ENTI ART.60 -COMMA 3- D.165/01|EN60|ENTI ART 60 COMMA 3 D 165 01
2014|14|AUTORITA' INDIPENDENTI|AUIN|AUTORITA'' INDIPENDENTI
2014|15|AGENZIE FISCALI|AGFI|AGENZIE FISCALI
2014|21|PRESIDENZA CONSIGLIO MINISTRI|PCMD|PRESIDENZA CONSIGLIO MINISTRI
2014|29|VIGILI DEL FUOCO|VVFF|VIGILI DEL FUOCO
2014|33|IST. FORM.NE ART.CO MUS.LE|AFAM|ISTIT.NI FORM.NE ART. E MUSIC.
2014|31|CARRIERA PREFETTIZIA|CPRE|CARRIERA PREFETTIZIA
2014|32|REGIONI A STATUTO SPECIALE|RETN|CONTRATTO REGIONE TRENTINO
2014|32|REGIONI A STATUTO SPECIALE|RESA|CONTRATTO REGIONE SARDEGNA
2014|32|REGIONI A STATUTO SPECIALE|RESI|CONTRATTO REGIONE SICILIA
2014|32|REGIONI A STATUTO SPECIALE|REVA|REGIONE VALLE D'AOSTA
2014|32|REGIONI A STATUTO SPECIALE|REFR|CONTRATTO FRIULI VENEZIAGIULIA
2014|32|REGIONI A STATUTO SPECIALE|PRTN|PROV. AUTONOMA DI TRENTO
2014|32|REGIONI A STATUTO SPECIALE|PRBZ|PROV. AUTONOMA DI BOLZANO
2014|32|REGIONI A STATUTO SPECIALE|SCTN|SCUOLA  P.A. TRENTO
2014|32|REGIONI A STATUTO SPECIALE|SCBZ|SCUOLA  P.A. BOLZANO
2014|LS|ENTI LISTA S13 ISTAT|LS13|ENTI LISTA S13
